Designator,Mid X,Mid Y,Rotation,Layer
C1,18.58,7.83625,270.0,top
C10,59.059,44.74675,0.0,top
C11,59.059,41.43625,0.0,top
C12,59.059,38.12575,0.0,top
C2,20.1,7.83625,270.0,top
C3,22.28,36.73625,270.0,top
C4,20.48,36.73625,270.0,top
C5,24.4,27.83625,0.0,top
C6,18.58,36.73625,270.0,top
C7,27.7,27.83625,0.0,top
C8,30.5265,41.83625,180.0,top
C9,37.18,36.63625,90.0,top
J1,5.55,23.9,270.0,top
J2,69.68,24.7635,90.0,top
L1,46.5,15.1,0.0,top
Q1,45.005,32.43625,270.0,top
Q2,45.78,42.212,0.0,top
R1,25.6,24.93625,270.0,top
R2,26.9755,15.03625,0.0,top
R3,26.9755,8.40775,0.0,top
R4,23.7,24.93625,270.0,top
R5,19.38,34.13625,0.0,top
R6,27.1,41.83625,180.0,top
R7,35.58,36.63625,90.0,top
R8,60.18,34.53625,270.0,top
R9,57.98,34.53625,90.0,top
TP2,5.5,32.3,0.0,top
U1,28.08,36.43625,270.0,top
